,Date,User,Tweet,Label
83,2022-12-09 07:32:57+00:00,news_wanheart,Nama Bupati Purwakarta dan Dedi Mulyadi Kian Populer Jelang Pemilu 2024 https://t.co/S5geAg5YKz,None
84,2022-12-09 07:31:10+00:00,news_wanheart,Kang Dedi Mulyadi Gelisah Kelakuan Ambu Anne Kini Sering ke Dukun: 'Itu Bukan Tradisi Kami' https://t.co/3InnvOgszH,None
85,2022-12-09 07:01:27+00:00,Suara_sumedang,"Dedi Mulyadi Buka Suara usai Dituduh Tak Beri Nafkah, Senggol Biaya untuk Maju Jadi Bupati https://t.co/Hd36HHLdHm",None
86,2022-12-09 07:00:11+00:00,Suara_sumedang,"Dedi Mulyadi Korek Biaya Pernikahan Ryan dan Yessy, Batal Nikah Perkara Mahar : Hajatan 150 Juta, Hingga Emas Capai Puluhan Juta Rupiah https://t.co/en3BV89GwL",None
87,2022-12-09 06:59:11+00:00,Suara_sumedang,"Dedi Mulyadi Dituding Telah Lakukan KDRT Terhadap Anne Ratna Mustika, eh Malah Apsen ke Pengadilan https://t.co/7VXHcjJIuB",None
88,2022-12-09 06:58:51+00:00,Suara_sumedang,Dedi Mulyadi Berikan Wejangan Pada Anne Ratna Mustika di Pengadilan Agama : Ingat Kekuasaan ada Akhirnya https://t.co/PhOeBkCNad,None
89,2022-12-09 06:58:36+00:00,Suara_sumedang,"Anne Ratna Mustika Tuding Dedi Mulyadi Tak Beri Nafkah, Kang Dedi Berikan Pesan Menohok : Itu Sudah Lebih dari Cukup! https://t.co/YSiSZ1fHxL",None
90,2022-12-09 06:57:07+00:00,Suara_sumedang,Jleb! Jawaban Menohok Dedi Mulyadi ke Anne Ratna Mustika usai Dituduh Tak Beri Nafkah: Lantas Pembiayaan Jadi Bupati.... https://t.co/dUsTQs95DE,None
91,2022-12-09 05:41:43+00:00,heraldindo,Pesan Menyentuh Dedi Mulyadi untuk Ryan Dono yang Gagal Nikah karena Mahar Sertifikat https://t.co/Ur310urQEh,None
92,2022-12-09 05:41:35+00:00,HeraldKalsel,Pesan Menyentuh Dedi Mulyadi untuk Ryan Dono yang Gagal Nikah karena Mahar Sertifikat https://t.co/ndQ4cjF4mS,None
93,2022-12-09 05:39:28+00:00,heraldindo,"Gagal Nikah karena Mahar Sertifikat, Ryan Dono Dapat Pesan Menyentuh dari Dedi Mulyadi https://t.co/uUaGLEizR3",None
94,2022-12-09 05:14:59+00:00,newmindarmy45,"Nama Bupati Purwakarta dan Dedi Mulyadi Kian Populer Jelang Pemilu 2024 

#newmind #beritaterkini #kabarterbaru #trending #fyp #news 

https://t.co/poUyIkqmp8",None
95,2022-12-09 05:14:59+00:00,newmindarmy45,"Kang Dedi Mulyadi Gelisah Kelakuan Ambu Anne Kini Sering ke Dukun: 'Itu Bukan Tradisi Kami' 

#newmind #beritaterkini #kabarterbaru #trending #fyp #news 

https://t.co/pRfTTXjlTH",None
96,2022-12-09 04:36:19+00:00,HumasPolresMaj1,"Dalam upaya menangkal masuknya paham radikalisme dan terorisme, Kapolsek Sukahaji Polres Majalengka AKP Rudy Djunardi didampingi Kanit Samapta AIPTU Riyana melaksanakan kegiatan sambang silaturahmi ke Toga (Tokoh Agama), Bapak H.Dedi Mulyadi yang diwakili Bapak Dani https://t.co/PrxLtbMCuz",None
97,2022-12-09 03:53:27+00:00,OposisiCerdas,"Kang Dedi Mulyadi Gelisah Kelakuan Ambu Anne Kini Sering ke Dukun: 'Itu Bukan Tradisi Kami'
https://t.co/nmOEwzyLUL",None
98,2022-12-09 03:32:30+00:00,geloraco,"Nama Bupati Purwakarta dan Dedi Mulyadi Kian Populer Jelang Pemilu 2024
https://t.co/2miYRORvDI",None
99,2022-12-09 03:32:06+00:00,geloraco,"Kang Dedi Mulyadi Gelisah Kelakuan Ambu Anne Kini Sering ke Dukun: 'Itu Bukan Tradisi Kami'
https://t.co/p10XXCGOIZ",None
